,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
52,Chadrac Akolo,cd COD,"FW,MF",24.0,6.9,17.0,2.81,9.0,0.0,2.0,2.0,1.0,3.0,4.0,0.66,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Matches,amiens
53,Quentin Cornette,fr FRA,"FW,MF",25.0,5.6,4.0,1.03,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.77,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,amiens
54,Matthieu Dreyer,fr FRA,GK,30.0,4.3,,,,,,,,,,,,,,,,,,Matches,amiens
55,Saman Ghoddos,ir IRN,FW,25.0,3.4,9.0,3.51,5.0,4.0,0.0,0.0,0.0,0.0,2.0,0.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
56,Prince-Désir Gouano,fr FRA,DF,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
57,Mathieu Bodmer,fr FRA,MF,36.0,1.9,3.0,3.07,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
58,Mahdi Talal,fr FRA,FW,21.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
59,Cheick Timite,ci CIV,"MF,FW",21.0,1.3,2.0,1.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
60,Jonathan Bumbu,fr FRA,MF,20.0,1.1,,,,,,,,,,,,,,,,,,Matches,amiens
61,Isaac Mbenza,be BEL,FW,23.0,0.9,5.0,5.36,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,amiens
62,Jack Lahne,se SWE,FW,17.0,0.4,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,amiens
63,Baptiste Santamaria,fr FRA,MF,24.0,30.2,46.0,1.65,30.0,0.0,4.0,4.0,4.0,4.0,3.0,0.11,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,angers
64,Romain Thomas,fr FRA,DF,31.0,29.4,9.0,0.35,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
65,Ludovic Butelle,fr FRA,GK,36.0,26.0,2.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
66,Vincent Manceau,fr FRA,DF,30.0,25.1,30.0,1.36,26.0,3.0,1.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
67,Thomas Mangani,fr FRA,MF,32.0,23.6,78.0,3.75,50.0,24.0,3.0,1.0,0.0,0.0,2.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
68,Ismaël Traoré,ci CIV,DF,32.0,22.8,12.0,0.53,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
69,Pierrick Capelle,fr FRA,"MF,DF",32.0,21.9,40.0,2.06,32.0,1.0,2.0,0.0,2.0,3.0,4.0,0.21,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
