,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club,Player▲,Sh▼
60,Konstantinos Mavropanos,gr GRE,"DF,MF",19.0,2.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Arsenal,,
61,Eddie Nketiah,eng ENG,"FW,MF",18.0,1.5,2,6.0,4.0,66.7,4.09,2.73,0.33,0.5,9.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Arsenal,,
62,Josh Dasilva,eng ENG,MF,18.0,0.7,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Arsenal,,
63,Chuba Akpom,eng ENG,FW,21.0,0.6,0,3.0,1.0,33.3,4.91,1.64,0.0,0.0,,,0,0,,,,,,Matches,Arsenal,,
64,Marcus McGuane,eng ENG,MF,18.0,0.1,0,,0.0,,,0.0,,,,,0,0,,,,,,Matches,Arsenal,,
65,Ben Sheaf,eng ENG,MF,19.0,0.1,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Arsenal,,
66,Remo Freuler,ch SUI,MF,25.0,33.4,5,49.0,14.0,28.6,1.47,0.42,0.1,0.36,15.8,0.0,0,0,5.9,5.9,0.12,-0.9,-0.9,Matches,Atalanta,,
67,Bryan Cristante,it ITA,"MF,FW",22.0,31.4,9,78.0,21.0,26.9,2.49,0.67,0.12,0.43,14.4,0.0,0,1,9.1,8.3,0.11,-0.1,0.7,Matches,Atalanta,,
68,Etrit Berisha,al ALB,GK,28.0,31.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Atalanta,,
69,Papu Gómez,ar ARG,"FW,MF",29.0,30.6,6,96.0,34.0,35.4,3.14,1.11,0.04,0.12,19.3,2.0,2,3,11.9,9.6,0.1,-5.9,-5.6,Matches,Atalanta,,
70,Andrea Masiello,it ITA,DF,31.0,30.1,4,22.0,7.0,31.8,0.73,0.23,0.18,0.57,10.8,0.0,0,0,3.0,3.0,0.14,1.0,1.0,Matches,Atalanta,,
71,Marten de Roon,nl NED,MF,26.0,28.6,3,24.0,8.0,33.3,0.84,0.28,0.08,0.25,20.7,0.0,1,2,3.0,1.5,0.06,0.0,0.5,Matches,Atalanta,,
72,Rafael Tolói,it ITA,DF,26.0,27.2,1,21.0,5.0,23.8,0.77,0.18,0.05,0.2,12.4,0.0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches,Atalanta,,
73,Hans Hateboer,nl NED,"DF,MF",23.0,26.6,0,23.0,8.0,34.8,0.86,0.3,0.0,0.0,15.3,0.0,0,0,1.8,1.8,0.08,-1.8,-1.8,Matches,Atalanta,,
74,Mattia Caldara,it ITA,DF,23.0,24.0,3,9.0,6.0,66.7,0.37,0.25,0.33,0.5,9.3,0.0,0,1,3.5,2.7,0.3,-0.5,0.3,Matches,Atalanta,,
75,José Luis Palomino,ar ARG,DF,27.0,22.0,1,9.0,2.0,22.2,0.41,0.09,0.11,0.5,7.7,0.0,0,0,1.8,1.8,0.2,-0.8,-0.8,Matches,Atalanta,,
