,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,club
53,Enzo Ebosse,fr FRA,DF,22-052,2.9,127.0,153.0,83.0,2022.0,834.0,65.0,68.0,95.6,53.0,62.0,85.5,7.0,17.0,41.2,0,0.6,-0.6,1.0,2.0,0.0,0.0,3.0,Matches,angers
54,Rayan Aït Nouri,fr FRA,DF,19-330,2.1,136.0,149.0,91.3,1873.0,750.0,90.0,92.0,97.8,36.0,43.0,83.7,4.0,6.0,66.7,1,0.4,0.6,4.0,1.0,4.0,3.0,12.0,Matches,angers
55,Wilfried Kanga,fr FRA,FW,23-070,1.5,14.0,17.0,82.4,189.0,21.0,8.0,8.0,100.0,5.0,8.0,62.5,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches,angers
56,Zinédine Ould Khaled,fr FRA,MF,21-108,0.7,16.0,17.0,94.1,211.0,28.0,11.0,11.0,100.0,4.0,5.0,80.0,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Matches,angers
57,Waniss Taibi,fr FRA,MF,19-056,0.6,11.0,14.0,78.6,156.0,17.0,5.0,6.0,83.3,5.0,6.0,83.3,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
58,Noah Fatar,fr FRA,"FW,MF",19-076,0.4,7.0,9.0,77.8,97.0,1.0,3.0,3.0,100.0,4.0,5.0,80.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
59,Casimir Ninga,td CHA,FW,27-350,0.3,7.0,9.0,77.8,150.0,57.0,4.0,5.0,80.0,2.0,2.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,Matches,angers
60,Rachid Alioui,ma MAR,FW,28-318,0.2,5.0,6.0,83.3,59.0,12.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,angers
61,Yassin Fortune,fr FRA,FW,22-092,0.2,3.0,4.0,75.0,39.0,2.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
62,Kévin Boma,tg TOG,DF,18-163,0.1,,,,,,,,,,,,,,,0,,,,,,,,Matches,angers
