,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,club
57,Waniss Taibi,fr FRA,MF,19-056,0.6,14.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,13.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,Matches,angers
58,Noah Fatar,fr FRA,"FW,MF",19-076,0.4,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,Matches,angers
59,Casimir Ninga,td CHA,FW,27-350,0.3,9.0,9.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,8.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,Matches,angers
60,Rachid Alioui,ma MAR,FW,28-318,0.2,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Matches,angers
61,Yassin Fortune,fr FRA,FW,22-092,0.2,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,Matches,angers
62,Kévin Boma,tg TOG,DF,18-163,0.1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Matches,angers
63,Stefan Ortega,de GER,GK,28-175,32.0,1818.0,1471.0,347.0,128.0,2.0,181.0,103.0,0.0,0.0,0.0,0.0,0.0,844.0,54.0,920.0,246.0,1318.0,3.0,0.0,111.0,1295.0,9.0,51.0,12.0,7.0,Matches,Arminia
64,Ritsu Doan,jp JPN,"MF,FW",22-318,28.7,782.0,653.0,129.0,72.0,1.0,173.0,44.0,58.0,46.0,27.0,14.0,1.0,443.0,97.0,242.0,611.0,100.0,36.0,9.0,1.0,494.0,4.0,21.0,22.0,41.0,Matches,Arminia
65,Fabian Klos,de GER,FW,33-149,28.2,702.0,666.0,36.0,2.0,2.0,276.0,18.0,25.0,1.0,0.0,0.0,0.0,299.0,219.0,184.0,88.0,328.0,103.0,2.0,20.0,409.0,4.0,20.0,28.0,34.0,Matches,Arminia
66,Amos Pieper,de GER,DF,23-103,27.8,1390.0,1342.0,48.0,37.0,1.0,151.0,73.0,3.0,0.0,0.0,0.0,0.0,964.0,118.0,308.0,187.0,1076.0,86.0,9.0,3.0,1163.0,3.0,28.0,9.0,10.0,Matches,Arminia
67,Cédric Brunner,ch SUI,DF,27-072,27.5,1328.0,1051.0,277.0,18.0,0.0,183.0,29.0,54.0,1.0,0.0,1.0,0.0,679.0,196.0,453.0,143.0,833.0,63.0,258.0,3.0,949.0,7.0,26.0,17.0,35.0,Matches,Arminia
68,Manuel Prietl,at AUT,MF,29-270,26.0,904.0,889.0,15.0,14.0,0.0,170.0,27.0,4.0,1.0,1.0,0.0,0.0,646.0,113.0,145.0,232.0,575.0,63.0,0.0,3.0,721.0,0.0,9.0,18.0,25.0,Matches,Arminia
69,Joakim Nilsson,se SWE,DF,27-083,22.0,951.0,912.0,39.0,34.0,0.0,105.0,34.0,1.0,0.0,0.0,0.0,0.0,700.0,70.0,181.0,744.0,109.0,52.0,5.0,3.0,802.0,3.0,18.0,10.0,11.0,Matches,Arminia
70,Marcel Hartel,de GER,MF,25-101,19.5,784.0,684.0,100.0,51.0,1.0,154.0,25.0,39.0,22.0,10.0,9.0,0.0,525.0,85.0,174.0,89.0,641.0,32.0,2.0,5.0,587.0,2.0,20.0,25.0,23.0,Matches,Arminia
71,Anderson Lucoqui,ao ANG,DF,23-298,16.3,671.0,504.0,167.0,16.0,0.0,105.0,12.0,11.0,0.0,0.0,0.0,0.0,332.0,137.0,202.0,422.0,56.0,29.0,151.0,0.0,453.0,1.0,15.0,19.0,32.0,Matches,Arminia
72,Mike van der Hoorn,nl NED,DF,28-197,15.0,827.0,803.0,24.0,24.0,1.0,122.0,34.0,0.0,0.0,0.0,0.0,0.0,618.0,51.0,158.0,109.0,651.0,32.0,0.0,0.0,720.0,3.0,11.0,10.0,5.0,Matches,Arminia
73,Fabian Kunze,de GER,MF,22-320,13.9,559.0,545.0,14.0,10.0,0.0,119.0,8.0,3.0,0.0,0.0,0.0,0.0,373.0,81.0,105.0,48.0,425.0,44.0,4.0,1.0,438.0,1.0,8.0,14.0,10.0,Matches,Arminia
74,Sergio Córdova,ve VEN,"FW,MF",23-264,12.6,267.0,260.0,7.0,1.0,1.0,79.0,3.0,9.0,0.0,0.0,0.0,0.0,163.0,60.0,44.0,26.0,179.0,26.0,2.0,9.0,180.0,2.0,9.0,10.0,16.0,Matches,Arminia
75,Jacob Barrett Laursen,dk DEN,DF,26-164,12.2,543.0,432.0,111.0,11.0,1.0,67.0,5.0,15.0,0.0,0.0,0.0,0.0,320.0,97.0,126.0,302.0,107.0,25.0,100.0,4.0,425.0,0.0,7.0,12.0,24.0,Matches,Arminia
76,Arne Maier,de GER,"MF,FW",22-112,8.5,325.0,300.0,25.0,16.0,1.0,54.0,8.0,7.0,8.0,4.0,1.0,0.0,211.0,39.0,75.0,38.0,259.0,21.0,1.0,2.0,247.0,1.0,3.0,11.0,10.0,Matches,Arminia
77,Andreas Voglsammer,de GER,"FW,MF",29-111,8.4,212.0,205.0,7.0,2.0,0.0,70.0,4.0,13.0,0.0,0.0,0.0,0.0,99.0,47.0,66.0,33.0,113.0,26.0,3.0,3.0,123.0,0.0,4.0,12.0,11.0,Matches,Arminia
78,Sven Schipplock,de GER,"FW,MF",32-173,8.0,177.0,171.0,6.0,0.0,0.0,50.0,2.0,10.0,0.0,0.0,0.0,0.0,96.0,43.0,38.0,23.0,102.0,26.0,2.0,6.0,96.0,1.0,5.0,14.0,15.0,Matches,Arminia
79,Christian Gebauer,at AUT,"MF,FW",27-131,7.5,191.0,185.0,6.0,2.0,0.0,41.0,3.0,8.0,1.0,0.0,0.0,0.0,105.0,37.0,49.0,24.0,140.0,16.0,3.0,3.0,126.0,1.0,5.0,5.0,14.0,Matches,Arminia
80,Masaya Okugawa,jp JPN,"MF,FW",25-016,7.5,112.0,99.0,13.0,3.0,0.0,21.0,4.0,3.0,6.0,3.0,2.0,0.0,72.0,17.0,23.0,36.0,63.0,7.0,0.0,1.0,66.0,0.0,2.0,5.0,7.0,Matches,Arminia
