,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,club
329,Chris Richards,us USA,DF,21-016,2.6,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bayern Munich
330,Joshua Zirkzee,nl NED,FW,19-326,1.2,0,4.0,1.0,25.0,3.43,0.86,0.0,0.0,11.9,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,Bayern Munich
331,Josip Stanišić,de GER,DF,21-011,1.0,0,2.0,0.0,0.0,2.0,0.0,0.0,,7.1,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,Bayern Munich
332,Tiago Dantas,pt POR,MF,20-110,0.8,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bayern Munich
333,Angelo Stiller,de GER,"MF,FW",20-009,0.7,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bayern Munich
334,Bright Arrey-Mbi,de GER,DF,18-018,0.7,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bayern Munich
335,Nianzou Kouassi,fr FRA,DF,18-310,0.4,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bayern Munich
336,Leon Dajaku,de GER,FW,20-001,0.3,0,1.0,1.0,100.0,3.0,3.0,0.0,0.0,,,0,0,,,,,,Matches,Bayern Munich
337,Armindo Sieb,de GER,FW,18-055,0.3,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Bayern Munich
338,Christopher Scott,de GER,"FW,MF",18-310,0.3,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bayern Munich
339,Mickaël Cuisance,fr FRA,FW,21-240,0.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Bayern Munich
340,Jann-Fiete Arp,de GER,FW,21-097,0.2,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Bayern Munich
341,Daniels Ontuzans,lv LVA,MF,21-037,0.0,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,Matches,Bayern Munich
342,Emerson,br BRA,DF,22-106,30.4,2,11.0,3.0,27.3,0.36,0.1,0.18,0.67,18.4,0.0,0,0,0.6,0.6,0.06,0.4,0.4,Matches,betis
343,Aïssa Mandi,dz ALG,DF,29-190,30.2,3,9.0,7.0,77.8,0.3,0.23,0.33,0.43,7.7,0.0,0,0,2.3,2.3,0.25,0.7,0.7,Matches,betis
344,Guido Rodríguez,ar ARG,MF,27-018,29.3,2,24.0,5.0,20.8,0.82,0.17,0.08,0.4,19.2,0.0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches,betis
