,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
59,Casimir Ninga,td CHA,FW,27-350,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
60,Rachid Alioui,ma MAR,FW,28-318,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
61,Yassin Fortune,fr FRA,FW,22-092,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
62,Kévin Boma,tg TOG,DF,18-163,0.1,,,,,,,,,,,,,,,,,,Matches,angers
63,Stefan Ortega,de GER,GK,28-175,32.0,15.0,0.48,13.0,2.0,0.0,0.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
64,Ritsu Doan,jp JPN,"MF,FW",22-318,28.7,81.0,2.9,35.0,20.0,16.0,4.0,5.0,1.0,4.0,0.14,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Arminia
65,Fabian Klos,de GER,FW,33-149,28.2,54.0,1.98,43.0,0.0,1.0,4.0,5.0,1.0,6.0,0.22,5.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Arminia
66,Amos Pieper,de GER,DF,23-103,27.8,17.0,0.63,16.0,0.0,0.0,0.0,0.0,1.0,2.0,0.07,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Arminia
67,Cédric Brunner,ch SUI,DF,27-072,27.5,20.0,0.75,15.0,3.0,1.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
68,Manuel Prietl,at AUT,MF,29-270,26.0,30.0,1.2,19.0,0.0,3.0,1.0,1.0,6.0,5.0,0.2,4.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Arminia
69,Joakim Nilsson,se SWE,DF,27-083,22.0,5.0,0.24,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
70,Marcel Hartel,de GER,MF,25-101,19.5,29.0,1.56,22.0,5.0,2.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
71,Anderson Lucoqui,ao ANG,DF,23-298,16.3,14.0,0.88,11.0,0.0,1.0,1.0,1.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
72,Mike van der Hoorn,nl NED,DF,28-197,15.0,6.0,0.4,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
73,Fabian Kunze,de GER,MF,22-320,13.9,16.0,1.15,12.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
74,Sergio Córdova,ve VEN,"FW,MF",23-264,12.6,29.0,2.39,21.0,0.0,3.0,2.0,2.0,1.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
75,Jacob Barrett Laursen,dk DEN,DF,26-164,12.2,7.0,0.6,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
